Order number,Client ID,Product code,Delivery Date,Delivery amount
97058,7121,494843,1/24/2019,9565
2968,7167,111937,1/29/2019,18907
2968,7167,218889,1/29/2019,54132
45863,7136,495715,2/7/2019,28023
45863,7136,495716,2/7/2019,59120
45863,7136,495717,2/7/2019,45829
45863,7136,495719,2/7/2019,42980
45863,7136,495720,2/7/2019,4028
45863,7136,495713,2/7/2019,38903
45863,7136,495722,2/7/2019,33661
45863,7136,495718,2/7/2019,1937
45863,7136,495714,2/7/2019,41604
45863,7136,495721,2/7/2019,30900
40155,7131,497253,2/18/2019,65313
40155,7131,497033,2/18/2019,30649
40155,7131,497028,2/18/2019,57336
40155,7131,497035,2/18/2019,20574
40155,7131,497036,2/18/2019,12677
40155,7131,497030,2/18/2019,24098
40155,7131,497037,2/18/2019,5790
40155,7131,497034,2/18/2019,35737
40155,7131,497032,2/18/2019,43414
40155,7131,497031,2/18/2019,11964
40155,7131,497029,2/18/2019,53427
43566,7129,497253,2/19/2019,42391
36220,7146,497253,2/19/2019,60604
43566,7129,497033,2/19/2019,23024
27587,7139,497033,2/19/2019,40184
35990,7146,497033,2/19/2019,15051
22102,7155,497033,2/19/2019,37570
3328,7167,497033,2/19/2019,46465
43566,7129,497028,2/19/2019,44925
27587,7139,497028,2/19/2019,14354
35990,7146,497028,2/19/2019,19003
22102,7155,497028,2/19/2019,17876
3328,7167,497028,2/19/2019,42747
43566,7129,497035,2/19/2019,53187
27587,7139,497035,2/19/2019,59947
35990,7146,497035,2/19/2019,9795
22102,7155,497035,2/19/2019,39312
3328,7167,497035,2/19/2019,32743
3328,7167,111945,2/19/2019,52928
43566,7129,497036,2/19/2019,62529
27587,7139,497036,2/19/2019,25447
35990,7146,497036,2/19/2019,55570
22102,7155,497036,2/19/2019,15098
3328,7167,497036,2/19/2019,29225
43566,7129,497030,2/19/2019,14318
27587,7139,497030,2/19/2019,32603
35990,7146,497030,2/19/2019,31012
22102,7155,497030,2/19/2019,31378
3328,7167,497030,2/19/2019,5827
43566,7129,497037,2/19/2019,49293
27587,7139,497037,2/19/2019,4796
35990,7146,497037,2/19/2019,35564
22102,7155,497037,2/19/2019,22858
3328,7167,497037,2/19/2019,64386
43566,7129,497034,2/19/2019,63654
27587,7139,497034,2/19/2019,21199
35990,7146,497034,2/19/2019,30195
22102,7155,497034,2/19/2019,64631
3328,7167,497034,2/19/2019,52249
43566,7129,497032,2/19/2019,16597
27587,7139,497032,2/19/2019,7700
35990,7146,497032,2/19/2019,19622
22102,7155,497032,2/19/2019,37017
3328,7167,497032,2/19/2019,43252
43566,7129,497031,2/19/2019,27613
27587,7139,497031,2/19/2019,2639
35990,7146,497031,2/19/2019,43448
22102,7155,497031,2/19/2019,17245
3328,7167,497031,2/19/2019,51619
27587,7139,497029,2/19/2019,65022
3328,7167,497029,2/19/2019,11116
3328,7167,178669,2/19/2019,27722
3328,7167,380513,2/19/2019,28506
18603,7138,497033,2/20/2019,38524
18603,7138,497028,2/20/2019,60841
18603,7138,497035,2/20/2019,25514
18603,7138,497036,2/20/2019,6894
18603,7138,497030,2/20/2019,8704
18603,7138,497037,2/20/2019,54726
18603,7138,497034,2/20/2019,4473
18603,7138,497032,2/20/2019,25247
18603,7138,497031,2/20/2019,27763
18603,7138,497029,2/20/2019,16952
21924,7161,497033,2/21/2019,54380
21924,7161,497028,2/21/2019,24360
21924,7161,497035,2/21/2019,32106
21924,7161,497036,2/21/2019,21646
21924,7161,497030,2/21/2019,44942
21924,7161,497037,2/21/2019,53507
21924,7161,497034,2/21/2019,56524
21924,7161,497032,2/21/2019,4880
21924,7161,497031,2/21/2019,36106
21924,7161,497029,2/21/2019,27015
79664,7110,497033,2/24/2019,23526
69092,7114,497033,2/24/2019,19880
79664,7110,497028,2/24/2019,10273
69092,7114,497028,2/24/2019,54118
79664,7110,497035,2/24/2019,7469
69092,7114,497035,2/24/2019,51989
79664,7110,497036,2/24/2019,54769
69092,7114,497036,2/24/2019,1267
79664,7110,497030,2/24/2019,8895
69092,7114,497030,2/24/2019,12693
79664,7110,497037,2/24/2019,37466
69092,7114,497037,2/24/2019,42370
79664,7110,497034,2/24/2019,29205
69092,7114,497034,2/24/2019,46494
79664,7110,497032,2/24/2019,65434
69092,7114,497032,2/24/2019,57008
79664,7110,497031,2/24/2019,34744
69092,7114,497031,2/24/2019,49924
79664,7110,497029,2/24/2019,38128
69092,7114,497029,2/24/2019,6446
90697,7111,497253,2/25/2019,50930
67685,7118,497253,2/25/2019,65583
38491,7128,497253,2/25/2019,46854
90697,7111,497033,2/25/2019,38507
67685,7118,497033,2/25/2019,35455
38491,7128,497033,2/25/2019,56446
90697,7111,497028,2/25/2019,60160
67685,7118,497028,2/25/2019,50918
38491,7128,497028,2/25/2019,62733
90697,7111,497035,2/25/2019,51842
67685,7118,497035,2/25/2019,61466
38491,7128,497035,2/25/2019,53852
90697,7111,497036,2/25/2019,56912
67685,7118,497036,2/25/2019,18880
38491,7128,497036,2/25/2019,7238
90697,7111,497030,2/25/2019,52682
67685,7118,497030,2/25/2019,64421
38491,7128,497030,2/25/2019,38783
90697,7111,497037,2/25/2019,42005
67685,7118,497037,2/25/2019,27345
38491,7128,497037,2/25/2019,47953
90697,7111,497034,2/25/2019,11240
67685,7118,497034,2/25/2019,32564
38491,7128,497034,2/25/2019,14793
90697,7111,497032,2/25/2019,31661
67685,7118,497032,2/25/2019,52863
38491,7128,497032,2/25/2019,65227
90697,7111,497031,2/25/2019,54535
67685,7118,497031,2/25/2019,46293
38491,7128,497031,2/25/2019,37902
90697,7111,497029,2/25/2019,45443
28565,7126,497253,2/26/2019,29455
27779,7139,497253,2/26/2019,7425
50038,7125,497033,2/26/2019,18117
28565,7126,497033,2/26/2019,38852
42039,7134,497033,2/26/2019,15294
50038,7125,497028,2/26/2019,4543
28565,7126,497028,2/26/2019,19976
42039,7134,497028,2/26/2019,3334
50038,7125,497035,2/26/2019,9527
28565,7126,497035,2/26/2019,51400
42039,7134,497035,2/26/2019,27814
50038,7125,497036,2/26/2019,26552
28565,7126,497036,2/26/2019,11592
42039,7134,497036,2/26/2019,62551
50038,7125,497030,2/26/2019,53897
28565,7126,497030,2/26/2019,62887
42039,7134,497030,2/26/2019,28243
50038,7125,497037,2/26/2019,62541
28565,7126,497037,2/26/2019,59601
42039,7134,497037,2/26/2019,19845
50038,7125,497034,2/26/2019,62838
28565,7126,497034,2/26/2019,64516
42039,7134,497034,2/26/2019,41938
50038,7125,497032,2/26/2019,57450
28565,7126,497032,2/26/2019,51288
42039,7134,497032,2/26/2019,26576
50038,7125,497031,2/26/2019,6757
28565,7126,497031,2/26/2019,52529
42039,7134,497031,2/26/2019,55605
50038,7125,497029,2/26/2019,14089
28565,7126,497029,2/26/2019,47267
42039,7134,497029,2/26/2019,24430
46601,7136,497253,2/28/2019,9125
46368,7140,497253,2/28/2019,40805
46601,7136,497033,2/28/2019,53973
46601,7136,497028,2/28/2019,39541
46601,7136,497035,2/28/2019,50520
46601,7136,497036,2/28/2019,40958
46601,7136,497030,2/28/2019,57736
46601,7136,497037,2/28/2019,18150
46601,7136,497034,2/28/2019,59283
46601,7136,497032,2/28/2019,5734
46601,7136,497031,2/28/2019,65388
79858,7110,497253,3/3/2019,60618
3416,7167,191628,3/5/2019,39983
3416,7167,111894,3/5/2019,27401
3416,7167,497253,3/5/2019,20910
3416,7167,111927,3/5/2019,20579
42306,7134,497253,3/6/2019,57453
18972,7138,497253,3/6/2019,54081
22362,7161,497253,3/7/2019,40826
99396,7121,497253,3/17/2019,55190
99396,7121,497033,3/17/2019,59275
99395,7121,497028,3/17/2019,55944
99396,7121,497035,3/17/2019,12570
99396,7121,497036,3/17/2019,42699
99396,7121,497030,3/17/2019,60293
99396,7121,497037,3/17/2019,28593
99396,7121,497034,3/17/2019,29047
99396,7121,497032,3/17/2019,10754
99396,7121,497031,3/17/2019,38153
50841,7125,497253,3/26/2019,58734
3911,7167,111890,4/2/2019,3352
3911,7167,111879,4/2/2019,5232
3911,7167,241123,4/2/2019,34723
3911,7167,207006,4/2/2019,12567
3911,7167,218986,4/2/2019,50908
3911,7167,241130,4/2/2019,58760
3911,7167,241008,4/2/2019,6298
3911,7167,217825,4/2/2019,22065
3911,7167,111932,4/2/2019,28955
3911,7167,219491,4/2/2019,40877
3911,7167,241125,4/2/2019,19843
3911,7167,218985,4/2/2019,29382
3911,7167,167346,4/2/2019,52734
3911,7167,111864,4/2/2019,13018
3911,7167,178667,4/2/2019,16841
3911,7167,178668,4/2/2019,55429
4598,7167,218993,4/30/2019,11748
23856,7155,111946,5/7/2019,31519
48341,7140,497029,5/8/2019,9403
46175,7129,497029,5/12/2019,29504
49472,7136,497029,5/13/2019,46178
70551,7118,497029,5/19/2019,44849
47757,7135,497029,5/20/2019,35629
4765,7167,218991,5/21/2019,40694
39995,7146,497029,5/21/2019,45806
102081,7121,497029,5/22/2019,44375
5021,7167,111946,6/4/2019,37906
5117,7167,191629,6/11/2019,7449
5486,7167,111889,6/25/2019,17516
6263,7167,218988,7/23/2019,54915
6997,7167,241129,8/21/2019,64893
75977,7118,509165,9/30/2019,40640
55770,7136,509165,9/30/2019,12639
8327,7167,380090,10/8/2019,10643
8327,7167,212989,10/8/2019,1967
8327,7167,380514,10/8/2019,20398
